page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I2995:9128;2995:9045;2443:2970,Section 6/Home_Mb/Section 2/Frame 2147224765/Platform/Content/Title + Description/Title,Smart TV,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2995:9128;2995:9046;2443:2970,Section 6/Home_Mb/Section 2/Frame 2147224765/Platform/Content/Title + Description/Title,TV Box,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2995:9128;2995:9047;2443:2970,Section 6/Home_Mb/Section 2/Frame 2147224765/Platform/Content/Title + Description/Title,Web,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,2747:3201,Section 6/Home_Mb/Pride/Hiệu quả thực tế,Hiệu quả thực tế,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,I3162:8986;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8986;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8987;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8987;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8988;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8988;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224842/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8990;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8990;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8991;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8991;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8992;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8992;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224843/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8994;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8994;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8995;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8995;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8996;2531:6606,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8996;2531:6607,Section 6/Home_Mb/Pride/Frame 1556/Pride/Frame 2147224844/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,2747:3287,Section 6/Home_Mb/Section 4/Frame 2147224765/Ưu điểm,Ưu điểm,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,I2747:3290;2443:4299,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 1/Frame 2147224770/Component 1/Sample text,NÂNG CAO HIỆU QUẢ,Inter,600,16.0,#4E61F6
🔵 UI_Phase 1,I2747:3290;2405:2757,"Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 1/Frame 2147224769/Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.","Phân phối quảng cáo nhanh chóng, ổn định với khả năng xử lý lưu lượng lớn theo thời gian thực.",Inter,400,14.0,#6D717F
🔵 UI_Phase 1,I2747:3291;2405:2762,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 1/Sample text,MỞ RỘNG LINH HOẠT,Inter,600,16.0,#3745AF
🔵 UI_Phase 1,I2747:3292;2405:2762,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 2/Sample text,ĐA NỀN TẢNG,Inter,600,16.0,#3745AF
🔵 UI_Phase 1,I2747:3293;2405:2762,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 3/Sample text,TÍCH HỢP MỞ,Inter,600,16.0,#3745AF
🔵 UI_Phase 1,I2747:3294;2405:2762,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 4/Sample text,QUẢN TRỊ & BẢO MẬT,Inter,600,16.0,#3745AF
🔵 UI_Phase 1,I2747:3295;2405:2762,Section 6/Home_Mb/Section 4/Frame 2147224765/Frame 2147224771/Frame 2147224767/Component 5/Sample text,GIÁM SÁT THỜI GIAN THỰC,Inter,600,16.0,#3745AF
🔵 UI_Phase 1,2747:3300,Section 6/Home_Mb/Section 5/Frame 2147224765/Khách hàng,Khách hàng,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,2747:3309,Section 6/Home_Mb/Section 5/Frame 2147224765/Frame 2147224775/Frame 2147224776/Frame 2147224773/Frame 2147224772/Liên hệ,Liên hệ ,Bai Jamjuree,600,32.0,#131927
🔵 UI_Phase 1,2747:3310,"Section 6/Home_Mb/Section 5/Frame 2147224765/Frame 2147224775/Frame 2147224776/Frame 2147224773/Frame 2147224772/Bạn có nhu cầu quảng cáo, hợp tác hoặc muốn tìm hiểu thêm về nền tảng? Hãy để lại thông tin, chúng tôi sẽ liên hệ với bạn trong thời gian sớm nhất.","Bạn có nhu cầu quảng cáo, hợp tác hoặc muốn tìm hiểu thêm về nền tảng? Hãy để lại thông tin, chúng tôi sẽ liên hệ với bạn trong thời gian sớm nhất.",Inter,400,14.0,#394050
🔵 UI_Phase 1,I2747:3311;52:814,Section 6/Home_Mb/Section 5/Frame 2147224765/Frame 2147224775/Frame 2147224776/Frame 2147224773/Button Group (Item)/Text/Button,Tư vấn,Inter,600,14.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9878,Section 6/Home_Mb/Footer Desk/Frame 2087326388/Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Inter,400,12.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9882;2445:2775,Section 6/Home_Mb/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9883;2445:2775,Section 6/Home_Mb/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9884;2445:2775,Section 6/Home_Mb/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9885;2531:6499,Section 6/Home_Mb/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9887,Section 6/Home_Mb/Footer Desk/Frame 90/Liên hệ,Liên hệ,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9897,"Section 6/Home_Mb/Footer Desk/Frame 90/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,12.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:9900,Section 6/Home_Mb/Footer Desk/Frame 2087326390/© Wiivent 2026,© Wiivent 2026,Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2747:3344;2531:10029;2445:2487,Section 6/Home_Mb/Footer Desk/Frame 2087326390/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,I2995:9027;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224842/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9027;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224842/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2995:9028;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224842/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9028;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224842/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2995:9029;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224842/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9029;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224842/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8366;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224843/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8366;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224843/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8367;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224843/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8367;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224843/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8368;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224843/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8368;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224843/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8553;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224844/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8553;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224844/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8554;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224844/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8554;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224844/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8555;2531:6606,Section 6/Pride/Property 1=Default/Frame 2147224844/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8555;2531:6607,Section 6/Pride/Property 1=Default/Frame 2147224844/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2995:9111;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224844/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9111;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224844/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2995:9112;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224844/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9112;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224844/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2995:9113;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224844/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2995:9113;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224844/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8384;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224845/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8384;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224845/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8385;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224845/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8385;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224845/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8386;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224845/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8386;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224845/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8586;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224846/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8586;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224846/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8587;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224846/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8587;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224846/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I3162:8588;2531:6606,Section 6/Pride/Property 1=Variant2/Frame 2147224846/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I3162:8588;2531:6607,Section 6/Pride/Property 1=Variant2/Frame 2147224846/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,3043:5483,Flow Connector,userflow,,,,
🔵 UI_Phase 1,3043:9941,Flow Connector,userflow,,,,
🔵 UI_Phase 1,2865:17522,Vertical Menu - Mobile/Home_Mb/Frame 13/SSK,SSK,Inter,600,18.0,#FFFFFF
🔵 UI_Phase 1,2865:17523,Vertical Menu - Mobile/Home_Mb/Frame 13/Demo,Demo,Inter,600,18.0,#FFFFFF
🔵 UI_Phase 1,2865:17524,Vertical Menu - Mobile/Home_Mb/Frame 13/Liên hệ,Liên hệ,Inter,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2865:17525;2531:6497,Vertical Menu - Mobile/Home_Mb/Frame 13/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,2995:8503,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224778/Giải pháp quảng cáo trên nền tảng số,Giải pháp quảng cáo trên  nền tảng số,Bai Jamjuree,600,32.0,#0095FF
🔵 UI_Phase 1,2995:8504,"Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224778/Quản trị và phân phối quảng cáo tập trung, tối ưu hiệu quả trên mọi điểm chạm.","Quản trị và phân phối quảng cáo tập trung, tối ưu hiệu quả trên mọi điểm chạm.",Bai Jamjuree,600,10.0,#D2D5DB
🔵 UI_Phase 1,I2995:8506;34:1272,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224768/Button/Text/Button,Xem định dạng,Inter,600,12.0,#FFFFFF
🔵 UI_Phase 1,I2995:8507;36:706,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224768/Button/Text/Button,Liên hệ tư vấn,Inter,600,12.0,#4E61F6
🔵 UI_Phase 1,2865:15313,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Phủ sóng toàn bộ nền tảng,Phủ sóng toàn bộ nền tảng,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,I2865:15316;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,IOS,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2865:15317;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Android,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2865:15318;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Smart TV,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2865:15319;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,TV Box,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2865:15320;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Web,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,2865:15322,Vertical Menu - Mobile/Home_Mb/Pride/Hiệu quả thực tế,Hiệu quả thực tế,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,I2865:15325;2531:6606,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/USO Card/Frame 48095670/Sample title,137M+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2865:15325;2531:6607,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/USO Card/Frame 48095670/Sample title,Ad impression/month,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2865:15326;2531:6606,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/Component 9/Frame 48095670/Sample title,10+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2865:15326;2531:6607,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/Component 9/Frame 48095670/Sample title,Advertiser,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,I2865:15327;2531:6606,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/Component 10/Frame 48095670/Sample title,5+,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2865:15327;2531:6607,Vertical Menu - Mobile/Home_Mb/Pride/Frame 1556/Pride/Component 10/Frame 48095670/Sample title,UIDs reach/tháng,Bai Jamjuree,600,18.0,#6D717F
🔵 UI_Phase 1,2995:8547,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224778/Giải pháp quảng cáo trên nền tảng số,Giải pháp quảng cáo trên  nền tảng số,Bai Jamjuree,600,32.0,#0095FF
🔵 UI_Phase 1,2995:8548,"Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224778/Quản trị và phân phối quảng cáo tập trung, tối ưu hiệu quả trên mọi điểm chạm.","Quản trị và phân phối quảng cáo tập trung, tối ưu hiệu quả trên mọi điểm chạm.",Bai Jamjuree,600,10.0,#D2D5DB
🔵 UI_Phase 1,I2995:8550;34:1272,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224768/Button/Text/Button,Xem định dạng,Inter,600,12.0,#FFFFFF
🔵 UI_Phase 1,I2995:8551;36:706,Vertical Menu - Mobile/Home_Mb/Hero/Blog/Frame 2147224760/Frame 2147224768/Button/Text/Button,Liên hệ tư vấn,Inter,600,12.0,#4E61F6
🔵 UI_Phase 1,2903:8270,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Phủ sóng toàn bộ nền tảng,Phủ sóng toàn bộ nền tảng,Bai Jamjuree,600,32.0,#3745AF
🔵 UI_Phase 1,I2903:8273;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,IOS,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2903:8274;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Android,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2903:8275;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Smart TV,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2903:8276;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,TV Box,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2903:8277;2443:2970,Vertical Menu - Mobile/Home_Mb/Section 2/Frame 2147224765/Group 48095671/Frame 2147224764/Content/Title + Description/Title,Web,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2903:8453;2903:8417;2445:2775,Vertical Menu - Mobile/Home_Mb/Menu/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,SDK,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8453;2903:8418;2445:2775,Vertical Menu - Mobile/Home_Mb/Menu/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Demo,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8453;2903:8419;2445:2775,Vertical Menu - Mobile/Home_Mb/Menu/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Liên hệ,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8453;2903:8420;2531:6497,Vertical Menu - Mobile/Home_Mb/Menu/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2903:8493;2903:8487;2445:2775,Vertical Menu - Mobile/Home_Mb/Frame 2147224840/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,SDK,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8493;2903:8488;2445:2775,Vertical Menu - Mobile/Home_Mb/Frame 2147224840/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Demo,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8493;2903:8489;2445:2775,Vertical Menu - Mobile/Home_Mb/Frame 2147224840/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Liên hệ,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8493;2903:8490;2531:6497,Vertical Menu - Mobile/Home_Mb/Frame 2147224840/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2903:8487;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=Menu Hide/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,SDK,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8488;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=Menu Hide/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Demo,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8489;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=Menu Hide/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Liên hệ,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8490;2531:6497,Vertical Menu - Mobile/Frame 2147224840/Property 1=Menu Hide/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2903:8440;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=MMenu Expand/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,SDK,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8441;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=MMenu Expand/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Demo,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8442;2445:2775,Vertical Menu - Mobile/Frame 2147224840/Property 1=MMenu Expand/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Liên hệ,Inter,600,18.0,#131927
🔵 UI_Phase 1,I2903:8443;2531:6497,Vertical Menu - Mobile/Frame 2147224840/Property 1=MMenu Expand/Frame 2147224841/Menu/Frame 2147224839/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I3043:8310;2445:2787;2445:2775,SDK/Desk_SDK/Frame 2147224760/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#131927
